Problem Size, Plan Length, Total Time
21, 10, 22, 0.010853767395019531
21, 12, 25, 0.012933492660522461
21, 16, 32, 0.017661094665527344
21, 18, 36, 0.018172025680541992
21, 15, 29, 0.015926837921142578
21, 14, 29, 0.014880657196044922
21, 11, 22, 0.011084318161010742
21, 16, 33, 0.017186641693115234
21, 13, 26, 0.013739824295043945
21, 16, 32, 0.01647639274597168
22, 10, 22, 0.011316299438476562
22, 17, 34, 0.019171476364135742
22, 7, 14, 0.008370637893676758
22, 10, 20, 0.011252880096435547
22, 18, 36, 0.020253658294677734
22, 10, 20, 0.011330604553222656
22, 11, 23, 0.012558698654174805
22, 17, 34, 0.019748687744140625
22, 12, 25, 0.013718128204345703
22, 12, 26, 0.013316631317138672
22, 15, 32, 0.017882823944091797
22, 16, 32, 0.01831984519958496
22, 13, 27, 0.015073060989379883
22, 8, 17, 0.008841753005981445
22, 15, 32, 0.017462968826293945
22, 11, 23, 0.012944221496582031
22, 13, 27, 0.015992403030395508
22, 14, 28, 0.015537261962890625
22, 9, 18, 0.010401010513305664
22, 15, 31, 0.016741514205932617
23, 13, 27, 0.01592707633972168
23, 16, 32, 0.019931793212890625
23, 8, 18, 0.010110855102539062
23, 15, 31, 0.01801776885986328
23, 12, 25, 0.01432490348815918
23, 12, 24, 0.014414548873901367
23, 13, 26, 0.015399694442749023
23, 13, 26, 0.016112327575683594
23, 17, 35, 0.023408889770507812
23, 15, 31, 0.01837015151977539
23, 9, 19, 0.011993169784545898
23, 12, 26, 0.015700340270996094
23, 13, 27, 0.015822887420654297
23, 13, 26, 0.015139579772949219
23, 9, 18, 0.011159181594848633
23, 12, 24, 0.014764785766601562
23, 13, 27, 0.015870332717895508
23, 16, 32, 0.019147157669067383
23, 10, 20, 0.012055397033691406
23, 11, 23, 0.014193296432495117
24, 13, 27, 0.017365694046020508
24, 14, 30, 0.01871347427368164
24, 9, 19, 0.012508392333984375
24, 14, 28, 0.017507553100585938
24, 14, 30, 0.01928877830505371
24, 11, 24, 0.014155864715576172
24, 12, 25, 0.014937162399291992
24, 13, 28, 0.01757645606994629
24, 15, 29, 0.019223451614379883
24, 15, 30, 0.019378662109375
24, 11, 22, 0.014417648315429688
24, 15, 31, 0.019669771194458008
24, 12, 24, 0.015154600143432617
24, 18, 35, 0.023021697998046875
24, 14, 29, 0.017697572708129883
24, 16, 32, 0.0211029052734375
24, 12, 26, 0.016231060028076172
24, 14, 29, 0.018239974975585938
24, 15, 32, 0.019234895706176758
24, 13, 28, 0.015831708908081055
