Problem Size, Plan Length, Total Time
22, 70, 140, 0.003850221633911133
22, 62, 124, 0.003482818603515625
22, 68, 136, 0.006569623947143555
22, 66, 132, 0.005308389663696289
22, 66, 132, 0.003762483596801758
22, 60, 120, 0.0033431053161621094
22, 62, 124, 0.003499269485473633
22, 64, 128, 0.003505706787109375
22, 54, 108, 0.0029268264770507812
22, 66, 132, 0.0035924911499023438
22, 50, 100, 0.002654552459716797
22, 72, 144, 0.004670858383178711
22, 62, 124, 0.006151914596557617
22, 66, 132, 0.004366636276245117
22, 60, 120, 0.0033919811248779297
22, 76, 152, 0.004232645034790039
22, 62, 124, 0.003448963165283203
22, 66, 132, 0.0036203861236572266
22, 56, 112, 0.0032024383544921875
22, 60, 120, 0.0033445358276367188
22, 72, 144, 0.003958463668823242
22, 72, 144, 0.007598876953125
22, 66, 132, 0.004867076873779297
22, 56, 112, 0.003098726272583008
22, 70, 140, 0.00390934944152832
22, 60, 120, 0.0033416748046875
22, 68, 136, 0.0037827491760253906
22, 68, 136, 0.0037741661071777344
22, 56, 112, 0.00305938720703125
22, 68, 136, 0.005035400390625
22, 66, 132, 0.004582643508911133
22, 66, 132, 0.0036652088165283203
22, 64, 128, 0.0034334659576416016
22, 38, 76, 0.0021123886108398438
22, 76, 152, 0.004300117492675781
22, 58, 116, 0.0031881332397460938
22, 54, 108, 0.002989053726196289
22, 58, 116, 0.003136873245239258
22, 64, 128, 0.0035903453826904297
22, 68, 136, 0.005624294281005859
22, 62, 124, 0.003429889678955078
22, 66, 132, 0.0063402652740478516
22, 56, 112, 0.004820108413696289
22, 52, 104, 0.002859830856323242
22, 50, 100, 0.002672910690307617
22, 68, 136, 0.0037872791290283203
22, 62, 124, 0.0035097599029541016
22, 62, 124, 0.01209712028503418
22, 60, 120, 0.0038299560546875
22, 62, 124, 0.0059909820556640625
22, 52, 104, 0.0038340091705322266
22, 60, 120, 0.003317117691040039
22, 52, 104, 0.002916097640991211
22, 62, 124, 0.0034329891204833984
22, 60, 120, 0.003300189971923828
22, 70, 140, 0.0038535594940185547
22, 62, 124, 0.0046956539154052734
22, 66, 132, 0.0036122798919677734
22, 62, 124, 0.004339456558227539
22, 54, 108, 0.005049228668212891
22, 58, 116, 0.003246307373046875
22, 66, 132, 0.0036754608154296875
22, 62, 124, 0.003654956817626953
22, 60, 120, 0.0032782554626464844
23, 64, 128, 0.0055713653564453125
23, 60, 120, 0.003407001495361328
23, 68, 136, 0.003849029541015625
23, 70, 140, 0.00395655632019043
23, 52, 104, 0.004193305969238281
23, 70, 140, 0.006699562072753906
23, 74, 148, 0.004260540008544922
23, 84, 168, 0.006124973297119141
23, 70, 140, 0.005203962326049805
23, 70, 140, 0.004188060760498047
23, 66, 132, 0.003726959228515625
23, 70, 140, 0.004079341888427734
23, 66, 132, 0.003928184509277344
23, 74, 148, 0.004518985748291016
23, 64, 128, 0.0053174495697021484
23, 74, 148, 0.010756969451904297
23, 70, 140, 0.005514383316040039
23, 68, 136, 0.0041773319244384766
23, 66, 132, 0.0038814544677734375
23, 60, 120, 0.003390789031982422
23, 68, 136, 0.003895998001098633
23, 76, 152, 0.004532337188720703
23, 64, 128, 0.004597187042236328
23, 70, 140, 0.003954172134399414
23, 62, 124, 0.003538846969604492
23, 56, 112, 0.0031697750091552734
23, 50, 100, 0.0027594566345214844
23, 68, 136, 0.003909587860107422
23, 46, 92, 0.002531766891479492
23, 54, 108, 0.0030100345611572266
23, 62, 124, 0.0035927295684814453
23, 72, 144, 0.00835871696472168
23, 62, 124, 0.003530740737915039
