Problem Size, Plan Length, Nodes Expanded, Total Time
24, 14, 30, 0.0208668
24, 10, 16, 0.0191851
24, 14, 27, 0.0180046
24, 12, 19, 0.0172223
24, 11, 18, 0.0170515
24, 9, 13, 0.0152024
24, 11, 15, 0.0211568
24, 13, 20, 0.019791
24, 11, 15, 0.0173864
24, 8, 11, 0.0159596
24, 9, 13, 0.0186312
24, 9, 17, 0.0186307
24, 13, 19, 0.0197915
24, 14, 25, 0.0184611
24, 11, 18, 0.0168588
24, 13, 19, 0.0183477
24, 12, 22, 0.0193049
24, 9, 12, 0.0183908
24, 14, 27, 0.0201131
24, 10, 14, 0.017135
